Code,Account,Courses Taken,Pass Rate,Number of Audits
Dealer 258,infinity energy,51,0.705882353,17
Dealer 259,infinity solar systems,52,0.5,4
Dealer 260,integrated energy systems,2,0,1
Dealer 261,integrated power supplies international inc,1,0,1
Dealer 262,intermountain wind and solar llc,2,0,1
Dealer 263,island electric,4,0,1
Dealer 264,islandwide solar llc,2,0,1
Dealer 265,jamar electric san diego inc,2,0,1
Dealer 266,jamar power systems,3,0,1
Dealer 267,jersey solar llc,1,0,1
Dealer 268,jk solar inc,2,0,1
Dealer 269,harmony solar,0,0,1
Dealer 270,joule energy,2,0,1
Dealer 271,haven-electric,0,0,1
Dealer 272,jp electric and solar,240,0.791666667,24
Dealer 273,kama'aina solar solutions,2,0,1
Dealer 274,kamtech solar solutions,245,0.693877551,49
Dealer 275,kbi electric inc,56,0.678571429,28
Dealer 276,kg solar and renewable energy llc,3,0,1
Dealer 277,kps solar,5,0,1
Dealer 278,kurios energy,60,0.6,10
Dealer 279,kv solar supply,1,0,1
Dealer 280,kw solar solutions,2,0,1
Dealer 281,l&m roofing association llc,1,0,1
Dealer 282,la solar group inc,6,0,1
Dealer 283,legacy solar,336,0.8125,16
Dealer 284,"legend ventures llc, dba legend solar",4,0,1
Dealer 285,home smart construction,0,0,5
Dealer 286,lifestyle solar inc,2,0,1
Dealer 287,lifetime power,18,0.666666667,9
Dealer 288,"lightwave solar electric, antioch",9,0,1
Dealer 289,litchfield hills solar llc,2,0,1
Dealer 290,living solar,2,0,1
Dealer 291,lotus energy,16,0,1
Dealer 292,luminalt,93,0.666666667,3
Dealer 293,m. kahn solar inc,24,0.75,4
Dealer 294,majestic son & sons inc,4,0,1
Dealer 295,hytech solar inc,0,0,26
Dealer 296,martifer solar,8,0,1
Dealer 297,id earth centric solar llc,0,0,1
Dealer 298,maui solar project llc,2,0,1
Dealer 299,id solaron,0,0,2
Dealer 300,"mauzy heating, air and solar",4,0,1
Dealer 301,id the solar doctors llc,0,0,1
Dealer 302,"mechanical energy systems inc, the solar specialist",2,0,1
Dealer 303,ies residential inc,0,0,4
Dealer 304,mendocino solar service,2,0,1
Dealer 305,mercury solar systems inc,5,0,1
Dealer 306,meridian solar inc,2,0,1
Dealer 307,metro rf,2,0,1
Dealer 308,infinium solar inc,0,0,22
Dealer 309,milholland electric,272,0.852941176,34
Dealer 310,insight solar,0,0,1
Dealer 311,mimeos sustainability consultants,1,0,1
Dealer 312,mira bella builders,2,0,1
Dealer 313,mirasol solar,12,0.666666667,3
Dealer 314,mission city construction inc,1,0,1
Dealer 315,mohr power solar inc,5,0,1
